review_point,paper_id,focused_review,verifiability_label,chatgpt_verifiability_definitions_score,chatgpt_verifiability_definitions_rationale,chatgpt_verifiability_definitions_examples_score,chatgpt_verifiability_definitions_examples_rationale,chatgpt_verifiability_definitions_incontext_learning_score,chatgpt_verifiability_definitions_incontext_learning_rationale
- The abstract does a good job explaining the proposed idea but lacks description of how the idea was evaluated and what was the outcome. Minor language issues p.,NIPS_2018_232,"- Strengths: the paper is well-written and well-organized. It clearly positions the main idea and proposed approach related to existing work and experimentally demonstrates the effectiveness of the proposed approach in comparison with the state-of-the-art. - Weaknesses: the research method is not very clearly described in the paper or in the abstract. The paper lacks a clear assessment of the validity of the experimental approach, the analysis, and the conclusions. Quality - Your definition of interpretable (human simulatable) focuses on to what extent a human can perform and describe the model calculations. This definition does not take into account our ability to make inferences or predictions about something as an indicator of our understanding of or our ability to interpret that something. Yet, regarding your approach, you state that you are ânot trying to find causal structure in the data, but in the modelâs responseâ and that âwe can freely manipulate the input and observe how the model response changesâ. Is your chosen definition of interpretability too narrow for the proposed approach? Clarity - Overall, the writing is well-organized, clear, and concise. - The abstract does a good job explaining the proposed idea but lacks description of how the idea was evaluated and what was the outcome. Minor language issues p. 95: âfrom fromâ -> âfromâ p. 110: âto toâ -> âhow toâ p. 126: âas wayâ -> âas a wayâ p. 182 âcan sortedâ -> âcan be sortedâ p. 197: âon directly onâ -> âdirectly onâ p. 222: âwhere wantâ -> âwhere we wantâ p. 245: âas accurateâ -> âas accurate asâ Tab. 1: âsquareâ -> âsquared errorâ p. 323: âthis are featuresâ -> âthis is featuresâ Originality - the paper builds on recent work in IML and combines two separate lines of existing work; the work by Bloniarz et al. (2016) on supervised neighborhood selection for local linear modeling (denoted SILO) and the work by Kazemitabar et al. (2017) on feature selection (denoted DStump). The framing of the problem, combination of existing work, and empirical evaluation and analysis appear to be original contributions. Significance - the proposed method is compared to a suitable state-of-the-art IML approach (LIME) and outperforms it on seven out of eight data sets. - some concrete illustrations on how the proposed method makes explanations, from a user perspective, would likely make the paper more accessible for researchers and practitioners at the intersection between human-computer interaction and IML. You propose a âcausal metricâ and use it to demonstrate that your approach achieves âgood local explanationsâ but from a user or human perspective it might be difficult to get convinced about the interpretability in this way only. - the experiments conducted demonstrate that the proposed method is indeed effective with respect to both accuracy and interpretability, at least for a significant majority of the studied datasets. - the paper points out two interesting directions for future work, which are likely to seed future research.",X,2,"the review point makes a claim that the abstract lacks a description of how the idea was evaluated and what the outcome was. however, the review does not provide sufficient evidence or justification for this claim. it does not explain why these elements are essential for the abstract or how their absence impacts the paper. the comment provides minimal support with the suggestion that these aspects should be included, thus offering some direction to the authors but lacking the depth and clarity needed for them to fully understand the justification behind the claim.",1,"the review point contains a claim about the abstract lacking a description of how the idea was evaluated and what the outcome was. however, it does not provide any supporting evidence or justification for this claim. the reviewer does not elaborate on what specific aspects are lacking or why these aspects are important for the abstract. additionally, the comment on minor language issues is vague and lacks specific examples, making it unverifiable.",2,"the claim is that the abstract 'lacks description of how the idea was evaluated and what was the outcome'. it provides some support, mentioning that there are 'minor language issues,' but this justification is vague and not fully articulated, making it borderline verifiable."
"4. Table 2, applying Conditional Batch Norm to layer 2 in addition to layers 3 and 4 deteriorates performance for GuessWhat?! compared to when CBN is applied to layers 4 and 3 only. Could authors please throw some light on this? Why do they think this might be happening?",NIPS_2017_631,"1.	The main contribution of the paper is CBN. But the experimental results in the paper are not advancing the state-of-art in VQA (on the VQA dataset which has been out for a while and a lot of advancement has been made on this dataset), perhaps because the VQA model used in the paper on top of which CBN is applied is not the best one out there. But in order to claim that CBN should help even the more powerful VQA models, I would like the authors to conduct experiments on more than one VQA model â favorably the ones which are closer to state-of-art (and whose codes are publicly available) such as MCB (Fukui et al., EMNLP16), HieCoAtt (Lu et al., NIPS16). It could be the case that these more powerful VQA models are already so powerful that the proposed early modulating does not help. So, it is good to know if the proposed conditional batch norm can advance the state-of-art in VQA or not.
2.	L170: it would be good to know how much of performance difference this (using different image sizes and different variations of ResNets) can lead to?
3.	In table 1, the results on the VQA dataset are reported on the test-dev split. However, as mentioned in the guidelines from the VQA dataset authors (http://www.visualqa.org/vqa_v1_challenge.html), numbers should be reported on test-standard split because one can overfit to test-dev split by uploading multiple entries.
4.	Table 2, applying Conditional Batch Norm to layer 2 in addition to layers 3 and 4 deteriorates performance for GuessWhat?! compared to when CBN is applied to layers 4 and 3 only. Could authors please throw some light on this? Why do they think this might be happening?
5.	Figure 4 visualization: the visualization in figure (a) is from ResNet which is not finetuned at all. So, it is not very surprising to see that there are not clear clusters for answer types. However, the visualization in figure (b) is using ResNet whose batch norm parameters have been finetuned with question information. So, I think a more meaningful comparison of figure (b) would be with the visualization from Ft BN ResNet in figure (a).
6.	The first two bullets about contributions (at the end of the intro) can be combined together.
7.	Other errors/typos:
a.	L14 and 15: repetition of word âimagineâ
b.	L42: missing reference
c.	L56: impact -> impacts
Post-rebuttal comments:
The new results of applying CBN on the MRN model are interesting and convincing that CBN helps fairly developed VQA models as well (the results have not been reported on state-of-art VQA model). So, I would like to recommend acceptance of the paper.
However I still have few comments --
1. It seems that there is still some confusion about test-standard and test-dev splits of the VQA dataset. In the rebuttal, the authors report the performance of the MCB model to be 62.5% on test-standard split. However, 62.5% seems to be the performance of the MCB model on the test-dev split as per table 1 in the MCB paper (https://arxiv.org/pdf/1606.01847.pdf).
2. The reproduced performance reported on MRN model seems close to that reported in the MRN paper when the model is trained using VQA train + val data. I would like the authors to clarify in the final version if they used train + val or just train to train the MRN and MRN + CBN models. And if train + val is being used, the performance can't be compared with 62.5% of MCB because that is when MCB is trained on train only. When MCB is trained on train + val, the performance is around 64% (table 4 in MCB paper).
3. The citation for the MRN model (in the rebuttal) is incorrect. It should be -- @inproceedings{kim2016multimodal,
title={Multimodal residual learning for visual qa},
author={Kim, Jin-Hwa and Lee, Sang-Woo and Kwak, Donghyun and Heo, Min-Oh and Kim, Jeonghee and Ha, Jung-Woo and Zhang, Byoung-Tak},
booktitle={Advances in Neural Information Processing Systems}, pages={361--369}, year={2016} }
4. As AR2 and AR3, I would be interested in seeing if the findings from ResNet carry over to other CNN architectures such as VGGNet as well.",X,x,"the review point does not contain a claim, opinion, or suggestion; it consists of factual observations and a request for clarification. the reviewer points out a specific observation about the deterioration in performance when conditional batch norm is applied to an additional layer and requests the authors to explain why this might be happening. since there is no evaluative or subjective assertion, the statement does not require any justification or evidence from the reviewer, thus falling under the 'no claim' category.",no claim,"the review point is asking for clarification on an observation without making any explicit claim or opinion that requires verification. it is a request for elaboration on why applying conditional batch norm to additional layers results in performance deterioration, but it does not imply any assertion about why this is the case. therefore, it is categorized as a normal statement that does not need justification.",no claim,"the comment merely states an observation from table 2 regarding performance changes when applying conditional batch norm to different layers. it does not contain a subjective opinion or suggestion, nor does it require verification. the question asked is seeking clarification rather than making a claim."
"- l132: Consider introducing the aspects of the specific model that are specific to this example model. For example, it should be clear from the beginning that we are not operating in a setting with infinite subdivisions for \gamma^1 and \gamma^m and that certain parameters are bounded on one side (acceleration and scaling parameters).",NIPS_2017_110,"of this work include that it is a not-too-distant variation of prior work (see Schiratti et al, NIPS 2015), the search for hyperparameters for the prior distributions and sampling method do not seem to be performed on a separate test set, the simultion demonstrated that the parameters that are perhaps most critical to the model's application demonstrate the greatest relative error, and the experiments are not described with adequate detail. This last issue is particularly important as the rupture time is what clinicians would be using to determine treatment choices. In the experiments with real data, a fully Bayesian approach would have been helpful to assess the uncertainty associated with the rupture times. Paritcularly, a probabilistic evaluation of the prospective performance is warranted if that is the setting in which the authors imagine it to be most useful. Lastly, the details of the experiment are lacking. In particular, the RECIST score is a categorical score, but the authors evaluate a numerical score, the time scale is not defined in Figure 3a, and no overall statistics are reported in the evaluation, only figures with a select set of examples, and there was no mention of out-of-sample evaluation.
Specific comments:
- l132: Consider introducing the aspects of the specific model that are specific to this example model. For example, it should be clear from the beginning that we are not operating in a setting with infinite subdivisions for \gamma^1 and \gamma^m and that certain parameters are bounded on one side (acceleration and scaling parameters).
- l81-82: Do you mean to write t_R^m or t_R^{m-1} in this unnumbered equation? If it is correct, please define t_R^m. It is used subsequently and it's meaning is unclear.
- l111: Please define the bounds for \tau_i^l because it is important for understanding the time-warp function.
- Throughout, the authors use the term constrains and should change to constraints.
- l124: What is meant by the (*)?
- l134: Do the authors mean m=2?
- l148: known, instead of know
- l156: please define \gamma_0^{***}
- Figure 1: Please specify the meaning of the colors in the caption as well as the text.
- l280: ""Then we made it explicit"" instead of ""Then we have explicit it""",X,3,"the review point contains a suggestion for clarification regarding the specific aspects of the model. it provides some justification by pointing out that it should be clear that infinite subdivisions are not being used and certain parameters are bounded. however, it lacks detailed explanations or references that would make it easier for the authors to understand why these specific aspects are important to highlight. while the comment includes an example, the reasoning behind why this clarification is necessary is not fully articulated, leaving room for further detail or explanation.",4,"the review point contains a suggestion for including specific aspects of the model in the draft. it also provides a reasoning that these aspects, such as not having infinite subdivisions for certain parameters and having bounded parameters, should be made clear in the draft. the justification provided is mostly supported by logical reasoning about why these details are critical to understanding the model's application. however, the reviewer could enhance the comment by giving more detailed explanations or referencing specific sections where this clarity is lacking.",1,"the comment makes a suggestion to 'consider introducing aspects' which implies a claim that certain information should be made explicit. however, this claim lacks any supporting evidence or justification for why these aspects need clarification, making it unverifiable."
"3: To further backup the proposed visual reference resolution model works in real dataset, please also conduct ablation study on visDial dataset. One experiment I'm really interested is the performance of ATT(+H) (in figure 4 left). What is the result if the proposed model didn't consider the relevant attention retrieval from the attention memory.",NIPS_2017_356,"]
My major concerns about this paper is the experiment on visual dialog dataset. The authors only show the proposed model's performance on discriminative setting without any ablation studies. There is not enough experiment result to show how the proposed model works on the real dataset. If possible, please answer my following questions in the rebuttal.
1: The authors claim their model can achieve superior performance having significantly fewer parameters than baseline [1]. This is mainly achieved by using a much smaller word embedding size and LSTM size. To me, it could be authors in [1] just test model with standard parameter setting. To backup this claim, is there any improvements when the proposed model use larger word embedding, and LSTM parameters?
2: There are two test settings in visual dialog, while the Table 1 only shows the result on discriminative setting. It's known that discriminative setting can not apply on real applications, what is the result on generative setting?
3: To further backup the proposed visual reference resolution model works in real dataset, please also conduct ablation study on visDial dataset. One experiment I'm really interested is the performance of ATT(+H) (in figure 4 left). What is the result if the proposed model didn't consider the relevant attention retrieval from the attention memory.",X,3,"the comment makes a claim by suggesting that the author conduct an ablation study on the visdial dataset to further validate their model's performance. the reviewer expresses specific interest in the performance of att(+h) without relevant attention retrieval. although the comment highlights areas for further investigation, it lacks detailed justification or reasoning regarding why these specific experiments would be beneficial or necessary for enhancing the paper. while the motivation for exploring these experimental parameters is implied, the justification is not fully articulated, which requires significant effort from the authors to understand why these experiments should be conducted.",3,"the review point contains a claim suggesting that an ablation study should be conducted on the visdial dataset to further verify the proposed model. the reviewer expresses interest in the performance of att(+h) without considering relevant attention retrieval from the attention memory. the underlying suggestion is inferred to improve the model's evaluation. the justification is somewhat provided as the reviewer wants to see how the model performs without a specific component, which can be somewhat logical but lacks explicit reasoning or references to support why this ablation study is necessary, other than the interest of the reviewer. this makes the comment somewhat verifiable but missing key elements like well-articulated reasons or supporting evidence.",1,"the review point contains a claim suggesting an ablation study on the visdial dataset to back up the proposed visual reference resolution model. however, the request for the ablation study lacks any supporting evidence or justification. it doesn't state why the ablation study is necessary or how it would specifically contribute to backing up the model's performance, making it unverifiable."
"2.b) On lines 182-183 the authors note measuring manifold capacity for unperturbed images, i.e. clean exemplar manifolds. Earlier they state that the exemplar manifolds are constructed using either adversarial perturbations or from stochasticity of the network. So I’m wondering how one constructs images for a clean exemplar manifold for a non-stochastic network? Or put another way, how is the denominator of figure 2.c computed for the ResNet50 & ATResNet50 networks?",NIPS_2021_1222,"Claims: 1.a) I think the paper falls short of the high-level contributions claimed in the last sentence of the abstract. As the authors note in the background section, there are a number of published works that demonstrate the tradeoffs between clean accuracy, training with noise perturbations, and adversarial robustness. Many of these, especially Dapello et al., note the relevance with respect to stochasticity in the brain. I do not see how their additional analysis sheds new light on the mechanisms of robust perception or provides a better understanding of the role stochasticity plays in biological computation. To be clear - I think the paper is certainly worthy of publication and makes notable contributions. Just not all of the ones claimed in that sentence.
1.b) The authors note on lines 241-243 that “the two geometric properties show a similar dependence for the auditory (Figure 4A) and visual (Figure 4B) networks when varying the eps-sized perturbations used to construct the class manifolds.” I do not see this from the plots. I would agree that there is a shared general upward trend, but I do not agree that 4A and 4B show “similar dependence” between the variables measured. If nothing else, the authors should be more precise when describing the similarities.
Clarifications: 2.a) The authors say on lines 80-82 that the center correlation was not insightful for discriminating model defenses, but then use that metric in figure 4 A&B. I’m wondering why they found it useful here and not elsewhere? Or what they meant by the statement on lines 80-82.
2.b) On lines 182-183 the authors note measuring manifold capacity for unperturbed images, i.e. clean exemplar manifolds. Earlier they state that the exemplar manifolds are constructed using either adversarial perturbations or from stochasticity of the network. So I’m wondering how one constructs images for a clean exemplar manifold for a non-stochastic network? Or put another way, how is the denominator of figure 2.c computed for the ResNet50 & ATResNet50 networks?
2.c) The authors report mean capacity and width in figure 2. I think this is the mean across examples as well as across seeds. Is the STD also computed across examples and seeds? The figure caption says it is only computed across seeds. Is there a lot of variability across examples?
2.d) I am unsure why there would be a gap between the orange and blue/green lines at the minimum strength perturbation for the avgpool subplot in figure 2.c. At the minimum strength perturbation, by definition, the vertical axis should have a value of 1, right? And indeed in earlier layers at this same perturbation strength the capacities are equal. So why does the ResNet50 lose so much capacity for the same perturbation size from conv1 to avgpool? It would also be helpful if the authors commented on the switch in ordering for ATResNet and the stochastic networks between the middle and right subplots.
General curiosities (low priority): 3.a) What sort of variability is there in the results with the chosen random projection matrix? I think one could construct pathological projection matrices that skews the MFTMA capacity and width scores. These are probably unlikely with random projections, but it would still be helpful to see resilience of the metric to the choice of random projection. I might have missed this in the appendix, though.
3.b) There appears to be a pretty big difference in the overall trends of the networks when computing the class manifolds vs exemplar manifolds. Specifically, I think the claims made on lines 191-192 are much better supported by Figure 1 than Figure 2. I would be interested to hear what the authors think in general (i.e. at a high/discussion level) about how we should interpret the class vs exemplar manifold experiments.
Nitpick, typos (lowest priority): 4.a) The authors note on line 208 that “Unlike VOneNets, the architecture maintains the conv-relu-maxpool before the first residual block, on the grounds that the cochleagram models the ear rather than the primary auditory cortex.” I do not understand this justification. Any network transforming input signals (auditory or visual) would have to model an entire sensory pathway, from raw input signal to classification. I understand that VOneNets ignore all of the visual processing that occurs before V1. I do not see how this justifies adding the extra layer to the auditory network.
4.b) It is not clear why the authors chose a line plot in figure 4c. Is the trend as one increases depth actually linear? From the plot it appears as though the capacity was only measured at the ‘waveform’ and ‘avgpool’ depths; were there intermediate points measured as well? It would be helpful if they clarified this, or used a scatter/bar plot if there were indeed only two points measured per network type.
4.c) I am curious why there was a switch to reporting SEM instead of STD for figures 5 & 6.
4.c) I found typos on lines 104, 169, and the fig 5 caption (“10 image and”).",X,x,"the review point is asking for clarification on a specific technical detail regarding the computation method used in the paper, particularly regarding how clean exemplar manifolds are constructed for non-stochastic networks. this constitutes a request for clarification rather than a subjective opinion or claim. it does not require justification, evidence, or support since it is not making a direct evaluative statement about the authors' work. the comment is aimed at understanding the authors' methodology better, and thus fits the 'no claim' category.",no claim,"the review point is asking a question about how the methodology is applied specifically for creating clean exemplar manifolds for non-stochastic networks and how a calculation is performed in the study (i.e., computation of the denominator of figure 2.c). it does not contain any opinion, suggestion, or subjective statement that requires verification. it simply seeks clarification about the methodology or process described in the paper.",no claim,"the comment is primarily asking for a clarification on how clean exemplar manifolds are constructed and how a specific computation is carried out in the paper. it does not contain any subjective opinion or suggestion, merely posing questions to understand the methodology better. therefore, it is classified as 'no claim'."
2. What is the purpose of the average duration reported in Table 1? There is no supporting explanation about it. Does it include time spent by the user waiting for the model to generate a response?,ARR_2022_93_review,"1. From an experimental design perspective, the experimental design suggested by the authors has been used widely for open-domain dialogue systems with the caveat of it not being done in live interactive settings.
2. The authors have not referenced those works that use continuous scales in the evaluation and there is a large bunch of literature missing from the paper. Some of the references are provided in the comments section.
3. Lack of screenshots of the experimental interface
Comments: 1. Please add screenshots of the interface that was designed.
2. Repetition of the word Tables in Line 549 3. In Appendix A.3, the GLEU metric is reference as GLUE.
Questions: 1. In table 1, is there any particular reason for the reduction in pass rate % from free run 1 and free run2?
2. What is the purpose of the average duration reported in Table 1? There is no supporting explanation about it. Does it include time spent by the user waiting for the model to generate a response?
3. With regards to the model section, is there any particular reason that there was an emphasis on choosing retriever-based transformer models over generative models? Even if the models are based on ConvAI2, there are other language modeling GPT2 based techniques that could have been picked.
4. In figure 6, what are the models in the last two columns lan_model_p and lan_model?
Missing References: 1. Howcroft, David M., Anja Belz, Miruna-Adriana Clinciu, Dimitra Gkatzia, Sadid A. Hasan, Saad Mahamood, Simon Mille, Emiel van Miltenburg, Sashank Santhanam, and Verena Rieser. "" Twenty years of confusion in human evaluation: NLG needs evaluation sheets and standardised definitions."" In Proceedings of the 13th International Conference on Natural Language Generation, pp. 169-182. 2020.
2. Santhanam, S. and Shaikh, S., 2019. Towards best experiment design for evaluating dialogue system output. arXiv preprint arXiv:1909.10122.
3. Santhanam, S., Karduni, A. and Shaikh, S., 2020, April. Studying the effects of cognitive biases in evaluation of conversational agents. In Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems (pp. 1-13).
4. Novikova, J., Dušek, O. and Rieser, V., 2018. RankME: Reliable human ratings for natural language generation. arXiv preprint arXiv:1803.05928.
5. Li, M., Weston, J. and Roller, S., 2019. Acute-eval: Improved dialogue evaluation with optimized questions and multi-turn comparisons. arXiv preprint arXiv:1909.03087.",X,x,"the review point consists of questions asking for clarification regarding the purpose of the average duration reported in table 1 and whether it includes time spent by the user waiting for the model to generate a response. these are normal statements requesting further explanation from the authors and do not contain claims, opinions, or suggestions. as such, they do not require justification or verification and are labeled as 'no claim'.",no claim,"the review point consists of questions that request clarification about the purpose and details of the average duration reported in table 1. it does not contain any claims, opinions, or suggestions that require verification or justification. instead, it is seeking information from the authors about the table's content, making it a factual inquiry rather than a subjective statement or claim.",no claim,"the comment asks a question and points out a lack of explanation regarding a factual element in the table. it does not express a subjective opinion or suggestion, nor does it require verification or justification."
"4. The promised dataset has not yet been made publicly available, so a cautious approach should be taken regarding this contribution until the dataset is openly accessible.",OvoRkDRLVr,"1. The paper proposes a multimodal framework built atop a frozen Large Language Model (LLM) aimed at seamlessly integrating and managing various modalities. However, this approach seems to be merely an extension of the existing InstructBLIP.
2. Additionally, the concept of extending to multiple modalities, such as the integration of audio and 3D modalities, has already been proposed in prior works like PandaGPT. Therefore, the paper appears to lack sufficient novelty in both concept and methodology.
3. In Table 1, there is a noticeable drop in performance for X-InstructBLIP. Could you please clarify the reason behind this? If this drop is due to competition among different modalities, do you propose any solutions to mitigate this issue?
4. The promised dataset has not yet been made publicly available, so a cautious approach should be taken regarding this contribution until the dataset is openly accessible.",X,4,"the review point makes a claim that a cautious approach should be taken regarding the contribution due to the promised dataset not being publicly available. this is supported by factual information about the availability status of the dataset. the rationale is mostly verifiable as the comment logically connects the unavailability of the dataset with the call for caution. however, the reviewer could strengthen their point with further explanation or evidence, such as detailing the importance of making the dataset available, which would fill the minor gap in support.",4,"the claim that a cautious approach should be taken due to the promised dataset not being publicly available is mostly verifiable. the reviewer notes the lack of public availability of the dataset, which is a factual statement. the claim that caution should be exercised is supported by the implication that accessibility of the dataset is crucial for verifying the contribution. the reasoning provided is mostly sufficient, but it could benefit from further details or references about the importance of dataset availability in evaluating scientific contributions.",3,"the claim here is that 'a cautious approach should be taken regarding this contribution until the dataset is openly accessible', suggesting that the dataset's unavailability impacts the evaluation of the contribution. the reasoning provided is somewhat general and lacks specific supporting evidence or references that would make it more robust, thus making the claim somewhat verifiable."
"4. I understand what it's trying to say but I believe this needs to be changed to be mathematically correct, unless that makes a bunch of other equations messy. Also, why is it L_l instead of just L? That notation should be introduced beforehand. Fig.",ICLR_2022_1842,"weakness, right?
Sec. 4.2: just for clarity, is each object's bounding box (for ray intersection) computation axis-aligned with the object coordinate system or the world/scene coordinate system?
Is there anything that constrains (in a soft or hard manner) the outgoing fractions to sum up/integrate to 1 or at most 1 for a given incoming light direction?
Fig. 10: What exactly is N in this figure? N is used in the main text to refer to the number of objects and to the number of point samples along a ray, neither of which seems like the right parameter here.
Minor suggestions for improvements:
Fig. 7: I currently cannot see much in this figure, a comparison to a white/grey environment map would make it easier to tell that there is an effect.
I'm not a fan of the equation two lines after Eq. 4. I understand what it's trying to say but I believe this needs to be changed to be mathematically correct, unless that makes a bunch of other equations messy. Also, why is it L_l instead of just L? That notation should be introduced beforehand.
Fig. 8: Switching out columns 2 and 3 would make the difficult comparison between No Indirect and Full Model easier.
There's a typo at the end of page 2: from from",X,2,"the review point contains two claims. firstly, the reviewer suggests that something needs to be changed to be mathematically correct, which indicates a subjective opinion. however, the claim lacks specific reasoning or a clear explanation as to why it is mathematically incorrect, making it hard for the authors to follow the suggestion. secondly, the reviewer questions the notation 'l_l', implying that the notation should be explained. the reviewer's question implies that prior introduction is necessary but does not provide a clear justification for this claim. therefore, both claims are borderline verifiable as they provide little guidance to the authors on how to address these issues.",2,"the review point contains a claim suggesting a change for mathematical correctness and a suggestion that the notation should be introduced earlier. however, the reviewer does not provide sufficient explanation or justification for why they believe the current form is mathematically incorrect or why the notation 'l_l' is problematic. the statement 'unless that makes a bunch of other equations messy' is vague and does not offer clear guidance. the claim is borderline verifiable as it is based on the reviewer's belief without robust evidence or detailed explanation, making it difficult for the author to follow the reasoning fully.",2,"the claim is 'this needs to be changed to be mathematically correct,' which suggests a modification. however, the rationale provided is vague, mentioning potential issues with equations becoming messy but without clear justification or detailed reasoning."
"2. For results shown in Table 3, how to interpret: (a) For Chinese MOS-Q, NVSB is comparable to GT Mel A. (b) For Chinese and English MOS-V, Baseline and NVSB have overlapping 95% CI.",ARR_2022_12_review,"I feel the design of NVSB and some experimental results need more explanation (more information in the section below).
1. In Figure 1, given experimental dataset have paired amateur and professional recordings from the same singer, what are the main rationals for (a) Having a separate timbre encoder module (b) SADTW takes outputs of content encoder (and not timbre encoder) as input?
2. For results shown in Table 3, how to interpret: (a) For Chinese MOS-Q, NVSB is comparable to GT Mel A. (b) For Chinese and English MOS-V, Baseline and NVSB have overlapping 95% CI.",X,x,"the review point consists of questions asking for clarification on how to interpret specific results presented in table 3. it does not include any claims, opinions, or suggestions that require verification. the reviewer is seeking further explanation rather than providing an evaluative comment.",no claim,"this review point poses a question asking for clarification or interpretation of the results shown in table 3. it does not contain any subjective statement, opinion, or suggestion that requires justification. the reviewer is seeking to understand specific results, but has not indicated any stance or required action on the part of the authors.",no claim,"the review point consists of questions asking for clarifications on interpreting specific results in table 3. it does not contain any claim, opinion, or suggestion, and only seeks factual responses, which do not require verification or justification."
"- What is not clear also to me is how is used the Challenge Set. If I understood correctly, the CS is created by the linguistic experts and it's used for evaluation purposes. Is this used also to augment the training material? If yes, what is the data split you used?",ARR_2022_186_review,"- it is not clear what's the goal of the paper. Is the release of a challenging dataset or proposing an analysis of augmenting models with expert guided adversarial examples. If it is the first, ok, but the paper misses a lot of important information, and data analysis to give a sense of the quality and usefulness of such a dataset. If it is the second, it is not clear what's the novelty.
- In general, it seems the authors want to propose a way of create a challenging set. However, what they describe seems very specific and not scalable.
- The paper structure and writing is not sufficient
My main concern is that it's not clear what's the goal of the paper. Also, the structure and writing should greatly improve. I believe also that the choice to go for a short paper was penalizing the authors, as it seems clear that they cut out some information that could've been useful to better understand the paper (also given the 5 pages appendix).
Detailed comments/questions: - Line 107 data, -> data.
- Line 161-162: this sentence is not clear.
- Table 1: are these all the rules you defined? How the rule is applied? When you decide to make small changes to the context? For example, when you decide to add ""and her team"" as in the last example of Table 1? - Also, it seems that all the rules change a one-token entity to a multi-token one or vice-versa. Will models be biased by this?
- Line 183-197: not clear what you're doing here. Details cannot be in appendix.
- What is not clear also to me is how is used the Challenge Set. If I understood correctly, the CS is created by the linguistic experts and it's used for evaluation purposes. Is this used also to augment the training material? If yes, what is the data split you used? - Line 246-249: this sentence lacks the conclusion - Line 249: What are eligible and not eligible examples?
- Line 251: what is p?
- Line 253: The formula doesn't depend on p, so why the premise is ""if p=100% of the eligible example""?
- Line 252: Not clear what is the subject of this sentence.",X,x,"the review point consists of questions asking for clarification about the use of the challenge set in the paper. it does not contain any claims, opinions, or suggestions, and therefore does not require any verification. the reviewer is seeking clarification on how the challenge set is used and whether it is also used to augment training material, along with the data split. these are factual queries rather than evaluative or inferential statements that need justification or evidence.",no claim,"the review point primarily consists of questions seeking clarification regarding the use of the challenge set (cs) in the paper. it asks for factual information and does not contain any subjective opinion, suggestion, or judgment that would require justification. the reviewer is not making a claim or providing an evaluation but instead is asking the authors to clarify their methodology concerning the use of cs.",no claim,"the review point consists of a series of questions and clarifications but does not include any subjective opinion, suggestion, or evaluative claim that would require justification. it simply seeks clarification and further explanation regarding the use of the challenge set."
3. I didn't find all parameter values. What are the model parameters for task 1? What lambda was chosen for the Boltzmann policy. But more importantly: How were the parameters chosen? Maximum likelihood estimates?,NIPS_2016_339,"weakness of the model. How would the values in table 1 change without this extra assumption? 3. I didn't find all parameter values. What are the model parameters for task 1? What lambda was chosen for the Boltzmann policy. But more importantly: How were the parameters chosen? Maximum likelihood estimates? 4. An answer to this point may be beyond the scope of this work, but it may be interesting to think about it. It is mentioned (lines 104-106) that ""the examples [...] should maximally disambiguate the concept being taught from other possible concepts"". How is disambiguation measured? How can disambiguation be maximized? Could there be an information theoretic approach to these questions? Something like: the teacher chooses samples that maximally reduce the entropy of the assumed posterior of the student. Does the proposed model do that? Minor points: â¢ line 88: The optimal policy is deterministic. Hence I'm a bit confused by ""the stochastic optimal policy"". Is above defined ""the Boltzmann policy"" meant? â¢ What is d and h in equation 2? â¢ line 108: ""to calculate this ..."" What is meant by ""this""? â¢ Algorithm 1: Require should also include epsilon. Does line 1 initialize the set of policies to an empty set? Are the policies in line 4 added to this set? Does calculateActionValues return the Q* defined in line 75? What is M in line 6? How should p_min be chosen? Why is p_min needed anyway? â¢ Experiment 2: Is the reward 10 points (line 178) or 5 points (line 196)? â¢ Experiment 2: Is 0A the condition where all tiles are dangerous? Why are the likelihoods so much larger for 0A? Is it reasonable to average over likelihoods that differ by more than an order of magnitude (0A vs 2A-C)? â¢ Text and formulas should be carefully checked for typos (e.g. line 10 in Algorithm 1: delta > epsilon; line 217: 1^-6;)",X,x,"the review point consists of a request for clarification rather than a claim or opinion. it asks for details about the model parameters and inquires about the method of parameter selection, without suggesting changes or providing subjective opinions that require verification. therefore, it is classified as containing 'no claim'.",no claim,"the review point primarily consists of questions asking for clarifications regarding the model parameters and the method of choosing parameters. there are no subjective opinions, suggestions, or judgments present in the comment. the reviewer is seeking factual information about the study, and therefore, this does not require any justification or verification.",no claim,"the comment poses questions seeking clarification on specific parameters and their selection process. it doesn't express an opinion or suggestion, nor does it make any subjective claims that need verification. it consists of factual inquiries that do not require any justification."
