review_point,paper_id,focused_review,grounding_specificity_label,chatgpt_grounding_specificity_definitions_score,chatgpt_grounding_specificity_definitions_rationale,chatgpt_grounding_specificity_definitions_examples_score,chatgpt_grounding_specificity_definitions_examples_rationale,chatgpt_grounding_specificity_definitions_incontext_learning_score,chatgpt_grounding_specificity_definitions_incontext_learning_rationale
"4 - For sequential ensembling, it is important to study the effect of noise accumulation in the context of homomorphic encryption. This limitations prevents the use of even single deep neural networks on homomorphically encrypted data.",ICLR_2023_2057,"1 - The main idea of using ensemble of neural networks is trivial and very common in machine learning literature. The paper doesn't provide any specific adaptation to the homomorphic encryption domain. 2 - The discussion on the homomorphic encryption schemes is completely missing. What type of HE do you use? 3 - How do you preform majority voting in the encrypted domain? Most of HE schemes do not support argmax operation. 4 - For sequential ensembling, it is important to study the effect of noise accumulation in the context of homomorphic encryption. This limitations prevents the use of even single deep neural networks on homomorphically encrypted data.",3.0,2,"the comment is weakly grounded as it does not explicitly mention a specific section or part of the paper that it addresses. the authors may have some hint or guess about where it could be applied, likely in a section discussing sequential ensembling or homomorphic encryption. however, the comment lacks specificity regarding what exactly is wrong or needs to be changed about the study on noise accumulation effects. while it mentions the limitation of homomorphic encryption with deep neural networks, it does not provide specific examples or details on how to address this limitation. thus, it is weakly grounded and not specific.",2,"the comment is weakly grounded and not specific. while it mentions 'sequential ensembling' and the 'context of homomorphic encryption', it does not refer to a specific part of the paper, making it difficult for the authors to pinpoint exactly where the issue lies. furthermore, although it notes a limitation regarding noise accumulation, it does not provide specific details or guidance on what exactly needs to be addressed or improved in the paper. as a result, the authors may not be able to confidently determine what part of the paper the reviewer is addressing or what specific changes are needed.",2,"the comment is weakly grounded and not specific. it does not mention a specific part of the paper where 'sequential ensembling' is discussed, hence authors may not confidently determine the context. while it specifies the issue about noise accumulation in homomorphic encryption, it does not specify where this limitation is discussed or how it should be addressed."
"2. The question answering requires the template mapping to transform the question into a masked statement, which might cause the poor generalization to questions that are not 'Wh-types'/transformable.",9RugvdmIBa,"1. Such strategy requires extra parallel data, which might not exist in many datasets/tasks especially during the pre-training stage. The authors did not consider such cases to propose some cheap ways to acquire such parallel data. Also, utilizing the parallel data for training increase the size of context window, which require larger context window for models and might be expensive.
2. The question answering requires the template mapping to transform the question into a masked statement, which might cause the poor generalization to questions that are not 'Wh-types'/transformable.",3.0,2,"the comment addresses a potential issue with the implementation of the question answering method, specifically pointing out the use of template mapping. this provides a clue about which part of the paper the authors need to look into (likely related to their methodology or approach for question answering), but it is not explicitly referring to any part of the paper, making the grounding weak. while the comment identifies a problem with generalization due to the use of template mapping, it does not provide specific details or suggestions for improvement, resulting in low specificity.",2,"the review point identifies an issue related to question answering and template mapping, suggesting that it might cause poor generalization. however, it lacks specificity and grounding. the comment does not provide explicit information about which part of the paper is addressed, nor does it clarify what exactly needs to be revised or improved upon. the authors might guess the intended meaning, but they cannot confidently determine the specific part being discussed or exactly what is wrong with it, thus resulting in weak grounding and low specificity.",2,"the comment is weakly grounded as it doesn't specify where in the paper the issue regarding template mapping is discussed, making it difficult for authors to pinpoint the exact part of the paper it addresses. it is also not specific, as it does not sufficiently elaborate on what needs to be addressed related to 'wh-types' questions not being transformable."
"- Comparing the performance of the model only pre-trained on synthetic data is unfair; instead, demonstrating that the proposed three projection errors are important is more preferred. In other words, providing the performance of the models pre-trained on synthetic data but fine-tuned on real-world datasets with different losses is necessary.",NIPS_2017_502,"Weakness]
- This paper is poorly written.
- The motivation, the contribution, and the intuition of this work can barely be understood based on the introduction.
- Sharing the style of citations and bullet items is confusing.
- Representing a translation vector with the notation $t^{i} = [x^{i}, y^{i}, z^{i} ] ^{T}$ is usually more preferred.
- The experimental results are not convincing.
- The descriptions of baseline models are unclear.
- Comparing the performance of the methods which directly optimize the mesh parameters, rotation, translation, and focal length according to the metric provided (projection error) doesn't make sense since the objective is in a different domain of the measurement of the performance.
- Comparing the performance of the model only pre-trained on synthetic data is unfair; instead, demonstrating that the proposed three projection errors are important is more preferred. In other words, providing the performance of the models pre-trained on synthetic data but fine-tuned on real-world datasets with different losses is necessary.
- The reason of claiming that it is a supervised learning framework is unclear. In my opinion, the supervision signals are still labeled. [Reproducibility]
The proposed framework is very simple and well explained with sufficient description of network parameters and optimization details. I believe it's trivial to reproduce the results. [Overall]
In term of the proposed framework, this paper only shows the improvement gained of fine-tuning the model based on the proposed losses defined by the reprojection errors of key points, optical flow, and foreground-background segmentation.
Taking into account that this work does show that fine-tuning the model pre-trained on synthetic datasets on real-world video clips improves the performance especially, it's still a convicting article.
In sum, as far as I am concerned this work makes a contribution but is insufficient.",3.0,2,"the comment mentions an issue with comparing model performance, implying a problem with how the comparison is framed. however, it does not specify a particular section or figure of the paper, resulting in weak grounding. the authors might have a hint that this pertains to the results or methodology section, but they cannot confidently pinpoint it. additionally, the comment outlines a shift in focus towards proving the importance of projection errors and differentiating losses, but it does not pinpoint the precise aspect or detail changes needed in those sections, thus making it not specific. therefore, the score is 2 for weakly grounded and not specific.",3,"the review point is weakly grounded as the authors cannot confidently determine which part of the paper it addresses. it does not explicitly mention a specific part like a section or figure. however, it is specific in what needs to be addressed by clearly stating that comparing model performance on pre-trained synthetic data is deemed unfair and suggests that it would be more beneficial to demonstrate the importance of the proposed three projection errors. it also advises about the necessity of providing fine-tuning details on real-world datasets with different losses.",5,the comment is fully grounded as it discusses the need to compare model performance specifically tied to synthetic data pre-training. it clearly specifies what needs to be addressed: demonstrating the significance of the three projection errors and providing performance comparisons with fine-tuning on real-world datasets. this detail ensures the authors know precisely what aspect of their experiment needs revision and why.
"- Also, since the dataset is artificially created, the dataset itself might have a lot of noise. For instance, the collected ""pristine"" set of tweets may not be pristine enough and might instead contain misinformation as well as out-of-context images. I would have liked to see more analysis around the quality of the collected dataset and the amount of noise it potentially has.",ARR_2022_236_review,"- My main criticism is that the ""mismatched"" image caption dataset is artificial and may not capture the kind of misinformation that is posted on platforms like Twitter. For instance, someone posting a fake image of a lockdown at a particular place may not just be about a mismatch between the image and the caption, but may rather require fact-checking, etc. Moreover, the in-the-wild datasets on which a complementary evaluation is conducted are also more about mismatched image-caption and not the real misinformation (lines 142-143). Therefore, the extent to which this dataset can be used for misinformation detection is limited. I would have liked to see this distinction between misinformation and mismatched image captions being clear in the paper.
- Also, since the dataset is artificially created, the dataset itself might have a lot of noise. For instance, the collected ""pristine"" set of tweets may not be pristine enough and might instead contain misinformation as well as out-of-context images. I would have liked to see more analysis around the quality of the collected dataset and the amount of noise it potentially has. - Since this is a new dataset, I would have liked to see evaluation of more models (other than just CLIP). But given that it is only a short paper, it is probably not critical (the paper makes enough contributions otherwise)
- Table 4 and Table 5: Are the differences statistically significant? ( especially important because the hNews and Twitter datasets are really small) - Lines 229-240: Are the differences between the topics statistically significant?",4.0,5,"the review point is fully grounded and specific. it explicitly refers to the issue with the 'collected 'pristine' set of tweets,' indicating that it may contain misinformation and out-of-context images. this provides full grounding since the authors can clearly identify the dataset components being addressed. moreover, it specifically suggests the need for 'more analysis around the quality of the collected dataset and the amount of noise it potentially has,' clearly specifying what needs to be improved in the paper. therefore, it meets both dimensions of grounding and specificity at the highest level.",5,"the review point is fully grounded and specific. it explicitly refers to the dataset used in the research as being 'artificially created' and further specifies the 'collected 'pristine' set of tweets.' it identifies potential issues with the dataset, namely noise, misinformation, and context problems. the comment also makes a specific suggestion for improvement by asking for more analysis on the quality and noise level of the dataset. this provides clear guidance to the authors on what and where improvements should be made, thus making it highly actionable.",2,"the review comment lacks precise grounding because it does not specify where in the paper the dataset is discussed or how the issues are presented. while the comment does mention specific concerns about the dataset being artificially created and potentially noisy, the authors cannot confidently identify which part of the paper this feedback addresses or what exactly needs to be revised regarding that section. as a result, the comment is weakly grounded and not specific enough."
"1) Is it necessary to treat concept map extraction as a separate task? On the one hand, many generic summarization systems build a similar knowledge graph and then generate summaries accordingly. On the other hand, with the increase of the node number, the concept map becomes growing hard to distinguish. Thus, the general summaries should be more readable.",ACL_2017_331_review,"The document-independent crowdsourcing annotation is unreliable. - General Discussion: This work creates a new benchmark corpus for concept-map-based MDS. It is well organized and written clearly. The supplement materials are sufficient. I have two questions here.
1) Is it necessary to treat concept map extraction as a separate task?
On the one hand, many generic summarization systems build a similar knowledge graph and then generate summaries accordingly. On the other hand, with the increase of the node number, the concept map becomes growing hard to distinguish. Thus, the general summaries should be more readable.
2) How can you determine the importance of a concept independent of the documents? The definition of summarization is to reserve the main concepts of documents. Therefore, the importance of a concept highly depends on the documents. For example, in the given topic of coal mining accidents, assume there are two concepts: A) an instance of coal mining accidents and B) a cause of coal mining accidents. Then, if the document describes a series of coal mining accidents, A is more important than B. In comparison, if the document explores why coal mining accidents happen, B is more significant than A. Therefore, just given the topic and two concepts A&B, it is impossible to judge their relative importance.
I appreciate the great effort spent by authors to build this dataset. However, this dataset is more like a knowledge graph based on common sense rather than summary.",4.0,2,"the review point lacks specific grounding as it does not reference any particular section or illustration (such as a figure or table) in the paper where the issue is discussed. moreover, the comment is somewhat vague about what exactly needs to be improved or revised in the paper regarding the task of concept map extraction. although it hints at the comparison with generic summarization systems, it fails to clearly direct the authors to a particular part of their draft and specify clear actionable suggestions for improvement. therefore, it is weakly grounded and not specific.",4,"the review comment is fully grounded because it explicitly addresses the issue of whether concept map extraction should be treated as a separate task in the context of the paper. it references the task of concept map extraction, which is likely a specific part of the paper that the authors can identify. however, the comment is under-specific because it does not clearly specify the issue that needs to be addressed in this part. the comment raises a question about the necessity of treating concept map extraction as a separate task and mentions the challenges related to node number and readability of concept maps, but it does not provide detailed guidance on what specific changes or improvements should be made to the paper. therefore, the overall specificity of the review point is limited, even though the grounding is clear.",2,the comment is weakly grounded and not specific. it questions the necessity of treating concept map extraction as a separate task but does not specify the section or part of the paper where this is discussed. it provides some reasoning but does not clearly guide the authors on what needs to be addressed.
- first mention of multigraph: some readers may benefit if the notion of a multigraph would get a short description - previously noted by ... many previous: sounds a little odd - Solving this task: which one?,ACL_2017_108_review,"The problem itself is not really well motivated. Why is it important to detect China as an entity within the entity Bank of China, to stay with the example in the introduction? I do see a point for crossing entities but what is the use case for nested entities? This could be much more motivated to make the reader interested. As for the approach itself, some important details are missing in my opinion: What is the decision criterion to include an edge or not? In lines 229--233 several different options for the I^k_t nodes are mentioned but it is never clarified which edges should be present!
As for the empirical evaluation, the achieved results are better than some previous approaches but not really by a large margin. I would not really call the slight improvements as ""outperformed"" as is done in the paper. What is the effect size? Does it really matter to some user that there is some improvement of two percentage points in F_1? What is the actual effect one can observe? How many ""important"" entities are discovered, that have not been discovered by previous methods? Furthermore, what performance would some simplistic dictionary-based method achieve that could also be used to find overlapping things? And in a similar direction: what would some commercial system like Google's NLP cloud that should also be able to detect and link entities would have achieved on the datasets. Just to put the results also into contrast of existing ""commercial"" systems.
As for the result discussion, I would have liked to see some more emphasis on actual crossing entities. How is the performance there? This in my opinion is the more interesting subset of overlapping entities than the nested ones. How many more crossing entities are detected than were possible before? Which ones were missed and maybe why? Is the performance improvement due to better nested detection only or also detecting crossing entities? Some general error discussion comparing errors made by the suggested system and previous ones would also strengthen that part.
General Discussion: I like the problems related to named entity recognition and see a point for recognizing crossing entities. However, why is one interested in nested entities? The paper at hand does not really motivate the scenario and also sheds no light on that point in the evaluation. Discussing errors and maybe advantages with some example cases and an emphasis on the results on crossing entities compared to other approaches would possibly have convinced me more.
So, I am only lukewarm about the paper with maybe a slight tendency to rejection. It just seems yet another try without really emphasizing the in my opinion important question of crossing entities.
Minor remarks: - first mention of multigraph: some readers may benefit if the notion of a multigraph would get a short description - previously noted by ... many previous: sounds a little odd - Solving this task: which one?
- e.g.: why in italics?
- time linear in n: when n is sentence length, does it really matter whether it is linear or cubic?
- spurious structures: in the introduction it is not clear, what is meant - regarded as _a_ chunk - NP chunking: noun phrase chunking?
- Since they set: who?
- pervious -> previous - of Lu and Roth~(2015) - the following five types: in sentences with no large numbers, spell out the small ones, please - types of states: what is a state in a (hyper-)graph? later state seems to be used analogous to node?!
- I would place commas after the enumeration items at the end of page 2 and a period after the last one - what are child nodes in a hypergraph?
- in Figure 2 it was not obvious at first glance why this is a hypergraph.
colors are not visible in b/w printing. why are some nodes/edges in gray. it is also not obvious how the highlighted edges were selected and why the others are in gray ... - why should both entities be detected in the example of Figure 2? what is the difference to ""just"" knowing the long one?
- denoting ...: sometimes in brackets, sometimes not ... why?
- please place footnotes not directly in front of a punctuation mark but afterwards - footnote 2: due to the missing edge: how determined that this one should be missing?
- on whether the separator defines ...: how determined?
- in _the_ mention hypergraph - last paragraph before 4.1: to represent the entity separator CS: how is the CS-edge chosen algorithmically here?
- comma after Equation 1?
- to find out: sounds a little odd here - we extract entities_._\footnote - we make two: sounds odd; we conduct or something like that?
- nested vs. crossing remark in footnote 3: why is this good? why not favor crossing? examples to clarify?
- the combination of states alone do_es_ not?
- the simple first order assumption: that is what?
- In _the_ previous section - we see that our model: demonstrated? have shown?
- used in this experiments: these - each of these distinct interpretation_s_ - published _on_ their website - The statistics of each dataset _are_ shown - allows us to use to make use: omit ""to use"" - tried to follow as close ... : tried to use the features suggested in previous works as close as possible?
- Following (Lu and Roth, 2015): please do not use references as nouns: Following Lu and Roth (2015) - using _the_ BILOU scheme - highlighted in bold: what about the effect size?
- significantly better: in what sense? effect size?
- In GENIA dataset: On the GENIA dataset - outperforms by about 0.4 point_s_: I would not call that ""outperform"" - that _the_ GENIA dataset - this low recall: which one?
- due to _an_ insufficient - Table 5: all F_1 scores seems rather similar to me ... again, ""outperform"" seems a bit of a stretch here ... - is more confident: why does this increase recall?
- converge _than_ the mention hypergraph - References: some paper titles are lowercased, others not, why?",4.0,4,"the review comment is fully grounded because it addresses specific issues in the paper, such as the 'first mention of multigraph', 'many previous', and 'solving this task', which are unique to the paper and authors can precisely identify them. however, the comment lacks specificity in detailing what exactly is wrong with 'many previous' and 'solving this task'. while it does suggest providing a short description for 'multigraph', it does not explain why 'many previous' sounds odd or specify which task 'solving this task' refers to. thus, it is fully grounded and under-specific.",4,"the review point is fully grounded, as it explicitly addresses specific issues within the paper: the need for a description of the notion of a multigraph and the clarity of certain phrases like 'many previous' and 'solving this task.' the specificity is strong regarding the issues of unclear phrases and potential lack of definition, but it falls slightly short of providing explicit instructions on how to address the phrase 'many previous sounds a little odd'. however, the grounding is clear as it directly points out the areas and offers insight into what the issues are with those areas, but there could be more specificity in guiding the authors on how to rectify those specific language issues.",5,"the comment is fully grounded and specific. it mentions specific parts of the paper that are addressed; the 'first mention of multigraph,' which would benefit from a short description, and the phrase 'many previous,' which sounds odd. the reviewer also points out a vague reference with 'solving this task' and asks for clarification on which task it refers to. this offers clear guidance for improvement."
"- The relatively poor performance on nouns makes me uneasy. While I can expect TWSI to do really well due to its nature, the fact that the oracle GAP for PPDBClus is higher than most clustering approaches is disconcerting, and I would like to understand the gap better. This also directly contradicts the claim that the clustering approach is generalizable to all parts of speech (124-126), since the performance clearly isn't uniform.",ACL_2017_614_review,"- I don't understand effectiveness of the multi-view clustering approach.
Almost all across the board, the paraphrase similarity view does significantly better than other views and their combination. What, then, do we learn about the usefulness of the other views? There is one empirical example of how the different views help in clustering paraphrases of the word 'slip', but there is no further analysis about how the different clustering techniques differ, except on the task directly. Without a more detailed analysis of differences and similarities between these views, it is hard to draw solid conclusions about the different views. - The paper is not fully clear on a first read. Specifically, it is not immediately clear how the sections connect to each other, reading more like disjoint pieces of work. For instance, I did not understand the connections between section 2.1 and section 4.3, so adding forward/backward pointer references to sections should be useful in clearing up things. Relatedly, the multi-view clustering section (3.1) needs editing, since the subsections seem to be out of order, and citations seem to be missing (lines 392 and 393).
- The relatively poor performance on nouns makes me uneasy. While I can expect TWSI to do really well due to its nature, the fact that the oracle GAP for PPDBClus is higher than most clustering approaches is disconcerting, and I would like to understand the gap better. This also directly contradicts the claim that the clustering approach is generalizable to all parts of speech (124-126), since the performance clearly isn't uniform.
- General Discussion: The paper is mostly straightforward in terms of techniques used and experiments. Even then, the authors show clear gains on the lexsub task by their two-pronged approach, with potentially more to be gained by using stronger WSD algorithms.
Some additional questions for the authors : - Lines 221-222 : Why do you add hypernyms/hyponyms?
- Lines 367-368 : Why does X^{P} need to be symmetric?
- Lines 387-389 : The weighting scheme seems kind of arbitrary. Was this indeed arbitrary or is this a principled choice?
- Is the high performance of SubstClus^{P} ascribable to the fact that the number of clusters was tuned based on this view? Would tuning the number of clusters based on other matrices affect the results and the conclusions?
- What other related tasks could this approach possibly generalize to? Or is it only specific to lexsub?",5.0,5,"the comment explicitly refers to the poor performance on nouns and mentions the oracle gap for ppdbclus, clearly indicating the part of the results or analyses concerning these elements. it also provides a specific location in the text (lines 124-126) where the claim about the generalizability to all parts of speech is made. the reviewer clearly specifies the contradiction and desires an explanation for the performance gap. this makes the comment both fully grounded and specific, as it provides enough details for the authors to identify and address the issue in their paper.",5,"the review point is fully grounded and specific. it explicitly mentions the issue of poor performance on nouns and references specific sections (124-126) where the questionable claim is made about the generalizability of the clustering approach to all parts of speech. this enables the authors to pinpoint where in the paper the contradiction exists and also specifies the nature of the problem—namely, the discrepancy between the empirical results and the paper's claims. the comment asks for a better understanding of this gap, guiding authors on what to focus on to improve the paper.",5,the comment is fully grounded as it specifies the concern with the performance on nouns and provides a location in the paper (lines 124-126) where a contradictory claim is made. it is specific about what is problematic (the inconsistency in performance on nouns conflicting with the claim of generalizability across parts of speech) and asks for clarification and understanding of the gap between different clustering approaches.
"- Section 4.3, model parameters and training. Explain how you achieved the values to the many parameters: word embedding size, GRU hidden states, alpha, beta 1 and 2, epsilon, beam size.",ACL_2017_333_review,"There are some few details on the implementation and on the systems to which the authors compared their work that need to be better explained. - General Discussion: - Major review: - I wonder if the summaries obtained using the proposed methods are indeed abstractive. I understand that the target vocabulary is build out of the words which appear in the summaries in the training data. But given the example shown in Figure 4, I have the impression that the summaries are rather extractive.
The authors should choose a better example for Figure 4 and give some statistics on the number of words in the output sentences which were not present in the input sentences for all test sets.
- page 2, lines 266-272: I understand the mathematical difference between the vector hi and s, but I still have the feeling that there is a great overlap between them. Both ""represent the meaning"". Are both indeed necessary? Did you trying using only one of them.
- Which neural network library did the authors use for implementing the system?
There is no details on the implementation.
- page 5, section 44: Which training data was used for each of the systems that the authors compare to? Diy you train any of them yourselves?
- Minor review: - page 1, line 44: Although the difference between abstractive and extractive summarization is described in section 2, this could be moved to the introduction section. At this point, some users might no be familiar with this concept.
- page 1, lines 93-96: please provide a reference for this passage: ""This approach achieves huge success in tasks like neural machine translation, where alignment between all parts of the input and output are required.""
- page 2, section 1, last paragraph: The contribution of the work is clear but I think the authors should emphasize that such a selective encoding model has never been proposed before (is this true?). Further, the related work section should be moved to before the methods section.
- Figure 1 vs. Table 1: the authors show two examples for abstractive summarization but I think that just one of them is enough. Further, one is called a figure while the other a table.
- Section 3.2, lines 230-234 and 234-235: please provide references for the following two passages: ""In the sequence-to-sequence machine translation (MT) model, the encoder and decoder are responsible for encoding input sentence information and decoding the sentence representation to generate an output sentence""; ""Some previous works apply this framework to summarization generation tasks.""
- Figure 2: What is ""MLP""? It seems not to be described in the paper.
- page 3, lines 289-290: the sigmoid function and the element-wise multiplication are not defined for the formulas in section 3.1.
- page 4, first column: many elements of the formulas are not defined: b (equation 11), W (equation 12, 15, 17) and U (equation 12, 15), V (equation 15).
- page 4, line 326: the readout state rt is not depicted in Figure 2 (workflow).
- Table 2: what does ""#(ref)"" mean?
- Section 4.3, model parameters and training. Explain how you achieved the values to the many parameters: word embedding size, GRU hidden states, alpha, beta 1 and 2, epsilon, beam size.
- Page 5, line 450: remove ""the"" word in this line? "" SGD as our optimizing algorithms"" instead of ""SGD as our the optimizing algorithms.""
- Page 5, beam search: please include a reference for beam search.
- Figure 4: Is there a typo in the true sentence? "" council of europe again slams french prison conditions"" (again or against?)
- typo ""supper script"" -> ""superscript"" (4 times)",5.0,5,"the review point is fully grounded as it explicitly mentions section 4.3, focusing on 'model parameters and training.' the specificity is high because it clearly lists specific parameters (word embedding size, gru hidden states, alpha, beta 1 and 2, epsilon, beam size) that need further explanation regarding how their values were achieved. this provides the authors direct guidance on which part of their paper needs revision and what aspect of that part requires more elaboration.",5,"the review point is fully grounded, as it explicitly mentions section 4.3 and the specific elements within that section related to model parameters and training. it also clearly specifies what needs to be addressed, namely explaining how the values for various parameters such as word embedding size, gru hidden states, alpha, beta 1 and 2, epsilon, and beam size were achieved. this level of specificity and grounding allows the authors to directly locate the relevant section and understand the precise issues they need to address.",5,"the comment is fully grounded as it explicitly mentions the section (section 4.3) and the topic (model parameters and training) that is being addressed. it specifies exactly what needs to be explained further, including parameters like word embedding size, gru hidden states, alpha, beta 1 and 2, epsilon, and beam size."
"14. Table 3: MCNC should have many strong baselines that are not compared here, such as the baselines in [1]. Can you justify the reason?",ARR_2022_202_review,"1. The write-up has many typos and some formulas/explanations are confusing.
2. The technical innovation of the proposed method is limited. The proposed objective function is basically a combination of two related works with tiny changes.
3. Reproductivity is not ideal, as some essential parts are not addressed in the paper, such as training data.
4. More strong baselines should be included/discussed in the experiments.
Comments 1. Line 18: it’s better to specify the exact tasks rather than stating several tasks in the abstract 2. Line 69: “current” -> “currently” 3. Line 112: margin-based loss can use one positive with MULTIPLE negatives.
4. Figure 1: the relation types are not explicitly modeled in this work so the figure is kind of confusing.
5. Eq. 1: what is z_p 6. Eq. 2: how do you convert BERT token embeddings into event embeddings? Concatenation? Any pooling?
7. Line 236-237: “conciser” -> “consider” 8. Line 209-211: I can understand what you mean but this part should be re-written. For example, “given an anchor event, we generate 3 positive samples with different dropout masks.”
9. Table 1: needs to include a random baseline to show the task difficulty 10. Experiments: what training data you use for pre-training?
11. Table 1: do the baselines and the proposed method use the same training data for pre-training? How did you get the results for the baselines? Did you have your own implementation, or directly use their released embeddings/code?
12. Line 450: L_{pc} or L_{cp}| in Eq. 7?
13. Table 2: what’s the difference between “SWCC w/o Prototype-based Clustering” and “BERT(InfoNCE)”?
14. Table 3: MCNC should have many strong baselines that are not compared here, such as the baselines in [1]. Can you justify the reason?
15. Can you provide an analysis on the impact of the number of augmented samples (e.g., z_{a1}, z_{a2}) here?",5.0,5,"the comment explicitly mentions 'table 3,' providing full grounding by identifying a specific part of the paper. it further specifies what is wrong—namely, that strong baselines for mcnc are missing, citing an example source '[1]' to provide a reference point. this allows the authors to clearly understand the issue and what needs to be addressed, thus meeting both grounding and specificity criteria comprehensively.",5,"the review point explicitly mentions table 3, providing full grounding as the authors can accurately identify which part of the paper is being addressed. additionally, it specifies what needs to be addressed: the inclusion or justification of not including certain strong baselines in the comparison, thereby providing specificity. the reviewer even hints at specific external work, 'such as the baselines in [1],' which bolsters the specificity of the comment. this makes the review point fully grounded and specific, fulfilling the requirement for a score of 5.",5,"the comment is fully grounded and specific. it explicitly mentions table 3 and specifies what needs to be addressed, namely the lack of comparison with strong baselines, such as those in reference [1]. it also requests a justification for this omission, providing clear guidance for the authors on how to improve this part of the paper."
4. the discussion in section 5.2 is so abstract that I don't get the insights why the new model is better than MH. can you provide examples of spurious structures?,ACL_2017_108_review,"Clarification is needed in several places.
1. In section 3, in addition to the description of the previous model, MH, you need point out the issues of MH which motivate you to propose a new model.
2. In section 4, I don't see the reason why separators are introduced. what additional info they convene beyond T/I/O?
3. section 5.1 does not seem to provide useful info regarding why the new model is superior.
4. the discussion in section 5.2 is so abstract that I don't get the insights why the new model is better than MH. can you provide examples of spurious structures? - General Discussion: The paper presents a new model for detecting overlapping entities in text. The new model improves the previous state-of-the-art, MH, in the experiments on a few benchmark datasets. But it is not clear why and how the new model works better.",5.0,5,"the review point is fully grounded and specific. it explicitly mentions the part of the paper it addresses ('the discussion in section 5.2'), allowing the authors to easily identify the relevant section. the comment also specifies what needs to be addressed: the discussion is considered 'so abstract' that it doesn't provide insights into why the new model is better than mh. furthermore, the reviewer gives a specific suggestion for improvement by asking for examples of spurious structures. this level of detail helps guide authors in making precise revisions to their draft.",5,"the review point is fully grounded as it explicitly mentions 'section 5.2,' allowing authors to easily identify the specific part of the paper being addressed. additionally, it is specific because it details what needs to be improved in this section: the discussion is too abstract and lacks insights that demonstrate why the new model is better than mh, and it calls for examples of spurious structures to be provided. this level of detailed feedback makes it clear to the authors how they can improve their draft.",5,"the review point is fully grounded as it explicitly mentions the specific section of the paper (section 5.2) that needs addressing. it also specifies the issue, which is the abstract nature of the discussion and the need for examples of spurious structures to clarify why the new model is better than mh."
